sheepx,sheepy,wolfx,wolfy,grassx,grassy
88,51,88,573,88,286.25
89,46,89,580,89,305
90,48,90,580,90,318.5
91,45,91,586,91,330.25
92,39,92,588,92,345
93,39,93,598,93,356.75
94,39,94,590,94,367.5
95,35,95,587,95,377.5
96,32,96,582,96,387.75
97,29,97,575,97,396.5
98,21,98,566,98,407.75
99,15,99,557,99,418.25
100,14,100,568,100,429.5
101,11,101,565,101,442
102,7,102,560,102,453.75
103,5,103,548,103,461
104,4,104,533,104,471.25
105,4,105,516,105,482
106,4,106,516,106,492.5
107,3,107,509,107,503.5
108,2,108,478,108,514.75
109,2,109,434,109,524.75
110,3,110,415,110,534.5
111,3,111,406,111,543
112,2,112,389,112,550
113,1,113,351,113,555.5
114,2,114,340,114,562.75
115,3,115,329,115,569.75
116,3,116,305,116,576
117,4,117,283,117,582
118,5,118,271,118,585.5
119,5,119,249,119,589
120,5,120,223,120,593.75
121,5,121,203,121,597.5
122,6,122,185,122,602.25
123,7,123,190,123,605.25
124,7,124,170,124,608.5
125,7,125,150,125,612
126,7,126,149,126,614.5
127,9,127,122,127,617.75
128,8,128,112,128,620
129,9,129,107,129,620.75
130,11,130,108,130,621
131,10,131,93,131,620
132,11,132,93,132,618.5
133,12,133,84,133,617.5
134,14,134,75,134,616
135,16,135,65,135,613.75
136,18,136,59,136,611.5
137,19,137,61,137,609.5
138,21,138,51,138,606
139,22,139,42,139,601.75
140,22,140,41,140,597.75
141,23,141,36,141,594.75
142,22,142,38,142,590.5
143,26,143,38,143,586.25
144,27,144,37,144,581.75
145,29,145,37,145,577
146,28,146,36,146,571.75
147,31,147,33,147,565.75
148,34,148,35,148,560.25
149,38,149,31,149,554.5
150,46,150,28,150,547
151,50,151,25,151,538.5
152,56,152,24,152,530.75
153,66,153,21,153,522
154,75,154,18,154,509.5
155,80,155,18,155,496.75
156,88,156,18,156,484.5
157,95,157,17,157,471.5
158,104,158,19,158,456.75
159,112,159,19,159,441.75
160,119,160,19,160,426.5
161,133,161,20,161,410.75
162,143,162,24,162,394.25
163,163,163,24,163,378.25
164,170,164,20,164,359
165,180,165,18,165,344.25
166,194,166,17,166,326.5
167,207,167,17,167,309
168,218,168,19,168,293
169,239,169,20,169,280.5
170,258,170,21,170,263
171,276,171,23,171,242.75
172,297,172,19,172,231.25
173,324,173,21,173,217
174,346,174,20,174,199.75
175,373,175,21,175,186.25
176,401,176,21,176,172.5
177,441,177,22,177,157.75
178,464,178,25,178,143
179,478,179,26,179,128
180,501,180,28,180,118
181,546,181,26,181,109.25
182,588,182,28,182,101
183,621,183,29,183,92.25
184,651,184,29,184,88.5
185,674,185,30,185,85.75
186,706,186,31,186,82.25
187,736,187,32,187,78.25
188,763,188,34,188,73.25
189,796,189,37,189,73
190,815,190,38,190,72.5
191,834,191,42,191,72.5
192,823,192,44,192,73.75
193,837,193,48,193,76.5
194,869,194,51,194,80.25
195,906,195,51,195,79.25
196,934,196,56,196,79.25
197,937,197,60,197,81.5
198,946,198,62,198,79.5
199,965,199,65,199,72.5
200,962,200,69,200,70.5
201,964,201,70,201,74.25
202,960,202,74,202,66
203,944,203,79,203,67.75
204,908,204,82,204,69.25
205,890,205,87,205,69.75
206,886,206,96,206,67.25
207,861,207,100,207,70
208,843,208,104,208,75.25
209,819,209,118,209,75.5
210,800,210,125,210,75.25
211,781,211,126,211,74.25
212,766,212,133,212,74.25
213,755,213,135,213,73
214,738,214,138,214,71.5
215,703,215,140,215,68.75
216,699,216,152,216,70.5
217,685,217,160,217,73.25
218,641,218,171,218,79.75
219,616,219,179,219,81.75
220,587,220,182,220,86
221,564,221,184,221,88.75
222,549,222,189,222,88
223,507,223,197,223,87.75
224,485,224,210,224,91.25
225,480,225,222,225,94.25
226,467,226,236,226,101.25
227,472,227,245,227,103.75
228,456,228,258,228,110
